Year,State,RTO Name,3,Fuel,Jan,Feb,March,April,May,June,July,Aug,Sep,Oct,Nov,Dec,Total
2014,Odisha,GAJAPATI RTO - OR20( 07-NOV-2017 ),2,NOT APPLICABLE,10,5,6,2,7,27,13,9,9,0,8,9,105
2014,Odisha,GAJAPATI RTO - OR20( 07-NOV-2017 ),3,PETROL,68,159,136,202,197,150,173,174,127,112,122,141,"1,761"
2014,Odisha,GAJAPATI RTO - OR20( 07-NOV-2017 ),4,PETROL/CNG,0,0,0,0,1,0,0,0,1,0,0,0,2
2014,Odisha,GANJAM RTO - OR7( 04-DEC-2017 ),1,DIESEL,422,309,500,323,336,333,423,211,348,308,326,316,"4,155"
2014,Odisha,GANJAM RTO - OR7( 04-DEC-2017 ),2,ELECTRIC(BOV),0,0,0,1,0,0,0,0,0,0,0,0,1
2014,Odisha,GANJAM RTO - OR7( 04-DEC-2017 ),3,NOT APPLICABLE,73,41,111,50,51,66,75,32,44,31,53,44,671
2014,Odisha,GANJAM RTO - OR7( 04-DEC-2017 ),4,PETROL,"2,248","2,219","2,984","2,735","3,180","2,354","2,504","1,461","2,042","2,476","2,213","2,053","28,469"
2014,Odisha,GANJAM RTO - OR7( 04-DEC-2017 ),5,PETROL/CNG,1,2,4,1,2,3,1,2,3,1,0,0,20
2014,Odisha,GANJAM RTO - OR7( 04-DEC-2017 ),6,PETROL/LPG,1,1,5,3,0,0,0,0,1,3,0,2,16
2014,Odisha,JAGATSINGHPUR RTO - OR21( 04-DEC-2017 ),1,DIESEL,81,81,84,79,58,63,73,62,54,94,101,86,916
2014,Odisha,JAGATSINGHPUR RTO - OR21( 04-DEC-2017 ),2,NOT APPLICABLE,19,18,31,21,13,11,12,14,5,12,20,13,189
2014,Odisha,JAGATSINGHPUR RTO - OR21( 04-DEC-2017 ),3,PETROL,802,719,884,734,894,"1,116",706,578,848,"1,043",880,747,"9,951"
2014,Odisha,JAGATSINGHPUR RTO - OR21( 04-DEC-2017 ),4,PETROL/CNG,0,0,2,0,1,1,1,1,0,0,0,0,6
2014,Odisha,JAGATSINGHPUR RTO - OR21( 04-DEC-2017 ),5,PETROL/LPG,0,0,0,0,0,2,2,2,0,0,5,0,11
2014,Odisha,JAJPUR RTO - OR34( 23-OCT-2017 ),1,DIESEL,24,7,15,15,12,5,8,5,10,10,9,14,134
2014,Odisha,JAJPUR RTO - OR34( 23-OCT-2017 ),2,NOT APPLICABLE,0,0,0,0,1,1,3,0,0,0,0,0,5
2014,Odisha,JAJPUR RTO - OR34( 23-OCT-2017 ),3,PETROL,26,17,23,12,28,15,27,16,19,19,29,25,256
2014,Odisha,JHARSUGUDA RTO - OR23( 07-NOV-2017 ),1,DIESEL,158,80,218,179,174,145,118,100,115,75,103,146,"1,611"
